# How Plaid's personal finance category becomes our two axes.
#
# Policy lives here rather than in a switch, so adding a category is one row and no code changes.
# Taxonomy: PFC **v2**, which is what the sandbox returns today. v2 renamed some v1 values, so
# INCOME_SALARY appears here and the documented v1 INCOME_WAGES does not.
#
# kind is one of SPEND, TRANSFER_INTERNAL, TRANSFER_EXTERNAL, INCOME, REFUND, FEE.
# category is set if and only if kind is SPEND.
#
# savings  "savings" on the transfers that add to what the user has put by, and blank everywhere
#          else. Only the provider can tell a payment into savings from a credit-card bill being
#          paid - both are transfers between the user's own accounts - and reporting the two added
#          together would tell somebody they had saved the amount they just paid off their card.
#          Money coming back out of savings carries the same flag with a negative amount, so a month
#          of paying in and taking out nets off instead of counting twice.
#
# source=observed  this value appears in the committed sandbox fixtures, and a test asserts it is
#                  still mapped. Every one was read off real data rather than predicted: the gym
#                  really does arrive as PERSONAL_CARE, and payroll really can arrive as a restaurant.
# source=documented  in Plaid's published taxonomy but absent from the fixtures. Without these rows a
#                  real user's electricity bill would land in "Everything else" and be treated as
#                  discretionary rather than capped against their city.
#
# Every row is one or the other, and a test enforces it against a committed copy of Plaid's published
# taxonomy: a row that is neither observed nor published is a name somebody invented, and it would
# sit here matching nothing forever. The same test fails if Plaid's list gains a value this table
# does not answer for.
#
# Note the two lists disagree, which is the point of keeping both. Seven observed values - among them
# INCOME_SALARY, LOAN_PAYMENTS_BNPL and LOAN_PAYMENTS_EWA - are absent from the published taxonomy
# because the sandbox emits v2 while that document is the older list. Real traffic wins.
#
# Two things the account itself decides, not this table, because the same category means different
# things depending on where it lands (see AccountRole):
#   - money arriving on a credit card or loan account is never income; it settles a debt
#   - a loan account only mirrors cash that moved somewhere else, so it is never spending
#
pfc_detailed,kind,category,savings,source,why
GENERAL_MERCHANDISE_CONVENIENCE_STORES,SPEND,DINING_OUT,,observed,Convenience stores are snacks and drinks rather than the household shop
GENERAL_MERCHANDISE_DEPARTMENT_STORES,SPEND,OTHER,,documented,
GENERAL_MERCHANDISE_DISCOUNT_STORES,SPEND,OTHER,,documented,
GENERAL_MERCHANDISE_ELECTRONICS,SPEND,OTHER,,documented,
GENERAL_MERCHANDISE_GIFTS_AND_NOVELTIES,SPEND,OTHER,,documented,
GENERAL_MERCHANDISE_OFFICE_SUPPLIES,SPEND,OTHER,,documented,
GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,SPEND,OTHER,,observed,Amazon; the basket could be anything so claiming to know is worse than saying we do not
GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,SPEND,OTHER,,documented,
GENERAL_MERCHANDISE_PET_SUPPLIES,SPEND,OTHER,,documented,
GENERAL_MERCHANDISE_SPORTING_GOODS,SPEND,OTHER,,documented,
GENERAL_MERCHANDISE_SUPERSTORES,SPEND,OTHER,,observed,Walmart and Target mix groceries with everything else
GENERAL_MERCHANDISE_TOBACCO_AND_VAPE,SPEND,OTHER,,documented,
GENERAL_SERVICES_ACCOUNTING_AND_FINANCIAL_PLANNING,SPEND,OTHER,,documented,
GENERAL_SERVICES_AUTOMOTIVE,SPEND,TRANSPORT_FUEL,,documented,
GENERAL_SERVICES_CHILDCARE,SPEND,OTHER,,documented,
GENERAL_SERVICES_CONSULTING_AND_LEGAL,SPEND,OTHER,,documented,
GENERAL_SERVICES_EDUCATION,SPEND,OTHER,,observed,
GENERAL_SERVICES_INSURANCE,SPEND,HEALTHCARE,,documented,
GENERAL_SERVICES_OTHER_GENERAL_SERVICES,SPEND,OTHER,,observed,Software and domains arrive here; becomes a subscription when it recurs
GENERAL_SERVICES_POSTAGE_AND_SHIPPING,SPEND,OTHER,,documented,
GENERAL_SERVICES_STORAGE,SPEND,OTHER,,documented,
GOVERNMENT_AND_NON_PROFIT_DONATIONS,SPEND,OTHER,,observed,
GOVERNMENT_AND_NON_PROFIT_GOVERNMENT_DEPARTMENTS_AND_AGENCIES,SPEND,OTHER,,documented,
GOVERNMENT_AND_NON_PROFIT_OTHER_GOVERNMENT_AND_NON_PROFIT,SPEND,OTHER,,documented,
GOVERNMENT_AND_NON_PROFIT_TAX_PAYMENT,SPEND,TAX_RESERVE,,observed,Tax the user pays themselves rather than through payroll
HOME_IMPROVEMENT_FURNITURE,SPEND,OTHER,,documented,
HOME_IMPROVEMENT_HARDWARE,SPEND,OTHER,,documented,
HOME_IMPROVEMENT_OTHER_HOME_IMPROVEMENT,SPEND,OTHER,,documented,
HOME_IMPROVEMENT_REPAIR_AND_MAINTENANCE,SPEND,OTHER,,documented,
HOME_IMPROVEMENT_SECURITY,SPEND,OTHER,,documented,
INCOME_DIVIDENDS,INCOME,,,documented,
INCOME_INTEREST_EARNED,INCOME,,,observed,
INCOME_OTHER_INCOME,INCOME,,,documented,
INCOME_RETIREMENT_PENSION,INCOME,,,documented,
INCOME_SALARY,INCOME,,,observed,On the credit card this is a card payment rather than pay; the account decides
INCOME_TAX_REFUND,INCOME,,,documented,
INCOME_UNEMPLOYMENT,INCOME,,,documented,
INCOME_WAGES,INCOME,,,documented,The v1 name; kept so a v1 item is not misread
LOAN_DISBURSEMENTS_CASH_ADVANCES,TRANSFER_EXTERNAL,,,observed,Borrowed money is not income; counting it would inflate the surplus
LOAN_DISBURSEMENTS_OTHER_DISBURSEMENT,TRANSFER_EXTERNAL,,,observed,The loan side of a payment; borrowed money is never income
LOAN_PAYMENTS_BNPL,SPEND,DEBT_PAYMENT,,observed,
LOAN_PAYMENTS_CAR_PAYMENT,SPEND,DEBT_PAYMENT,,documented,
LOAN_PAYMENTS_CASH_ADVANCES,SPEND,DEBT_PAYMENT,,observed,
LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,TRANSFER_INTERNAL,,,observed,The double-count bug: the purchases were already counted when they were made
LOAN_PAYMENTS_EWA,SPEND,DEBT_PAYMENT,,observed,Repaying an earned-wage advance is an outflow to a lender
LOAN_PAYMENTS_MORTGAGE_PAYMENT,SPEND,RENT,,documented,Rent covers a mortgage payment; both are the roof and neither can be capped
LOAN_PAYMENTS_OTHER_PAYMENT,SPEND,DEBT_PAYMENT,,documented,
LOAN_PAYMENTS_PERSONAL_LOAN_PAYMENT,SPEND,DEBT_PAYMENT,,documented,
LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,SPEND,DEBT_PAYMENT,,documented,
MEDICAL_DENTAL_CARE,SPEND,HEALTHCARE,,documented,
MEDICAL_EYE_CARE,SPEND,HEALTHCARE,,documented,
MEDICAL_NURSING_CARE,SPEND,HEALTHCARE,,documented,
MEDICAL_OTHER_MEDICAL,SPEND,HEALTHCARE,,observed,
MEDICAL_PHARMACIES_AND_SUPPLEMENTS,SPEND,HEALTHCARE,,documented,
MEDICAL_PRIMARY_CARE,SPEND,HEALTHCARE,,observed,
MEDICAL_VETERINARY_SERVICES,SPEND,OTHER,,documented,
PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,SPEND,SUBSCRIPTIONS,,observed,A gym is a membership even on the month it is not used; the category covers it explicitly
PERSONAL_CARE_HAIR_AND_BEAUTY,SPEND,OTHER,,documented,
PERSONAL_CARE_LAUNDRY_AND_DRY_CLEANING,SPEND,CLOTHING,,observed,
PERSONAL_CARE_OTHER_PERSONAL_CARE,SPEND,OTHER,,documented,
RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,SPEND,UTILITIES,,documented,
RENT_AND_UTILITIES_INTERNET_AND_CABLE,SPEND,UTILITIES,,documented,
RENT_AND_UTILITIES_OTHER_UTILITIES,SPEND,UTILITIES,,documented,
RENT_AND_UTILITIES_RENT,SPEND,RENT,,observed,
RENT_AND_UTILITIES_SEWAGE_AND_WASTE_MANAGEMENT,SPEND,UTILITIES,,documented,
RENT_AND_UTILITIES_TELEPHONE,SPEND,UTILITIES,,documented,
RENT_AND_UTILITIES_WATER,SPEND,UTILITIES,,documented,
TRANSFER_IN_ACCOUNT_TRANSFER,TRANSFER_INTERNAL,,,observed,
TRANSFER_IN_CASH_ADVANCES_AND_LOANS,TRANSFER_EXTERNAL,,,documented,Borrowed money arriving; counting it as income would inflate the surplus
TRANSFER_IN_DEPOSIT,INCOME,,,observed,
TRANSFER_IN_INVESTMENT_AND_RETIREMENT_FUNDS,TRANSFER_INTERNAL,,savings,documented,
TRANSFER_IN_OTHER_TRANSFER_IN,TRANSFER_INTERNAL,,,documented,
TRANSFER_IN_SAVINGS,TRANSFER_INTERNAL,,savings,documented,
TRANSFER_OUT_ACCOUNT_TRANSFER,TRANSFER_INTERNAL,,,observed,
TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,TRANSFER_INTERNAL,,savings,documented,
TRANSFER_OUT_OTHER_TRANSFER_OUT,TRANSFER_INTERNAL,,,documented,
TRANSFER_OUT_SAVINGS,TRANSFER_INTERNAL,,savings,observed,Moving money to savings is not spending and is never subtracted
TRANSFER_OUT_TRANSFER_OUT_FROM_APPS,SPEND,OTHER,,observed,Venmo and Cash App usually pay a person for something real; counted rather than dropped
TRANSFER_OUT_WITHDRAWAL,SPEND,OTHER,,documented,Cash withdrawn is spent on something we cannot see
TRANSPORTATION_BIKES_AND_SCOOTERS,SPEND,TRANSPORT_FUEL,,documented,
TRANSPORTATION_GAS,SPEND,TRANSPORT_FUEL,,observed,
TRANSPORTATION_OTHER_TRANSPORTATION,SPEND,TRANSPORT_FUEL,,documented,
TRANSPORTATION_PARKING,SPEND,TRANSPORT_FUEL,,observed,
TRANSPORTATION_PUBLIC_TRANSIT,SPEND,TRANSPORT_FUEL,,documented,
TRANSPORTATION_TAXIS_AND_RIDE_SHARES,SPEND,TRANSPORT_FUEL,,observed,
TRANSPORTATION_TOLLS,SPEND,TRANSPORT_FUEL,,documented,
TRAVEL_FLIGHTS,SPEND,OTHER,,observed,Travel is discretionary but not a night out; Other is honest about what it is
TRAVEL_LODGING,SPEND,OTHER,,documented,
TRAVEL_OTHER_TRAVEL,SPEND,OTHER,,documented,
TRAVEL_RENTAL_CARS,SPEND,OTHER,,documented,
